"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0805_2012Metric","70.2006mm","78.336126mm","70.2006mm","78.336126mm","71.1506mm","78.336126mm","T","180","1u",
"C2","C_0805_2012Metric","70.2006mm","76.380326mm","70.2006mm","76.380326mm","69.2506mm","76.380326mm","T","0","1u",
"C3","C_0805_2012Metric","53.335mm","59.133726mm","53.335mm","59.133726mm","53.335mm","58.183726mm","T","90","27p",
"C4","C_0805_2012Metric","46.6548mm","59.108326mm","46.6548mm","59.108326mm","46.6548mm","60.058326mm","T","-90","27p",
"C5","C_0805_2012Metric","39.2888mm","84.355926mm","39.2888mm","84.355926mm","40.2388mm","84.355926mm","T","180","10u",
"C6","C_0805_2012Metric","41.5748mm","73.814926mm","41.5748mm","73.814926mm","42.5248mm","73.814926mm","T","180","10u",
"C7","C_0805_2012Metric","55.5194mm","68.277726mm","55.5194mm","68.277726mm","55.5194mm","67.327726mm","T","90","100n",
"C8","C_0805_2012Metric","61.336mm","85.041726mm","61.336mm","85.041726mm","61.336mm","85.991726mm","T","-90","100n",
"C9","C_0805_2012Metric","65.7048mm","83.339926mm","65.7048mm","83.339926mm","65.7048mm","82.389926mm","T","90","100n",
"C10","C_0805_2012Metric","65.5778mm","70.716126mm","65.5778mm","70.716126mm","65.5778mm","71.666126mm","T","-90","100n",
"C11","C_0805_2012Metric","53.5636mm","68.277726mm","53.5636mm","68.277726mm","53.5636mm","69.227726mm","T","-90","100n",
"C12","C_0805_2012Metric","57.5514mm","84.203526mm","57.5514mm","84.203526mm","58.5014mm","84.203526mm","T","180","100n",
"C13","C_0805_2012Metric","53.8938mm","79.529926mm","53.8938mm","79.529926mm","54.8438mm","79.529926mm","T","180","100n",
"C14","C_0805_2012Metric","63.622mm","84.686126mm","63.622mm","84.686126mm","63.622mm","83.736126mm","T","90","100n",
"C15","C_0805_2012Metric","70.2006mm","74.424526mm","70.2006mm","74.424526mm","69.2506mm","74.424526mm","T","0","100n",
"C16","C_0805_2012Metric","90.224874mm","25.695126mm","90.224874mm","25.695126mm","90.224874mm","26.645126mm","T","-90","100n",
"C17","C_0805_2012Metric","90.224874mm","37.125126mm","90.224874mm","37.125126mm","90.224874mm","38.075126mm","T","-90","100n",
"C18","C_0805_2012Metric","90.199748mm","3.770252mm","90.199748mm","3.770252mm","90.199748mm","4.720252mm","T","-90","100n",
"C19","C_0805_2012Metric","90.199748mm","16.004252mm","90.199748mm","16.004252mm","90.199748mm","16.954252mm","T","-90","100n",
"D1","L1206","3.01mm","64.215126mm","3.01mm","64.215126mm","1.604mm","64.365126mm","T","180","LED",
"D2","L1206","3.01mm","61.929126mm","3.01mm","61.929126mm","1.604mm","62.079126mm","T","180","LED",
"D3","L1206","3.01mm","66.501126mm","3.01mm","66.501126mm","1.604mm","66.651126mm","T","180","LED",
"D4","L1206","3.01mm","59.643126mm","3.01mm","59.643126mm","1.604mm","59.793126mm","T","180","LED",
"R1","R_0805_2012Metric","70.353mm","82.476326mm","70.353mm","82.476326mm","70.353mm","83.388826mm","T","-90","27",
"R2","R_0805_2012Metric","72.258mm","82.476326mm","72.258mm","82.476326mm","72.258mm","81.563826mm","T","90","27",
"R3","R_0805_2012Metric","55.4432mm","71.579726mm","55.4432mm","71.579726mm","54.5307mm","71.579726mm","T","0","1k",
"R5","R_0805_2012Metric","15.71mm","47.705126mm","15.71mm","47.705126mm","14.7975mm","47.705126mm","T","0","27",
"R6","R_0805_2012Metric","38.57mm","47.705126mm","38.57mm","47.705126mm","37.6575mm","47.705126mm","T","0","27",
"R7","R_0805_2012Metric","61.43mm","47.705126mm","61.43mm","47.705126mm","60.5175mm","47.705126mm","T","0","27",
"R8","R_0805_2012Metric","84.29mm","47.705126mm","84.29mm","47.705126mm","83.3775mm","47.705126mm","T","0","27",
"R10","R_0805_2012Metric","44.295126mm","27.745126mm","44.295126mm","27.745126mm","43.382626mm","27.745126mm","T","0","27",
"R11","R_0805_2012Metric","21.435126mm","27.745126mm","21.435126mm","27.745126mm","22.347626mm","27.745126mm","T","180","27",
"R13","R_0805_2012Metric","9.901mm","69.776326mm","9.901mm","69.776326mm","8.9885mm","69.776326mm","T","0","1k 0805",
"R14","R_0805_2012Metric","13.2792mm","69.776326mm","13.2792mm","69.776326mm","14.1917mm","69.776326mm","T","180","1k 0805",
"R15","R_0805_2012Metric","22.6518mm","77.497926mm","22.6518mm","77.497926mm","21.7393mm","77.497926mm","T","0","1k",
"R16","R_0805_2012Metric","1.6714mm","69.446126mm","1.6714mm","69.446126mm","1.6714mm","68.533626mm","T","90","1k 0805",
"R17","R_0805_2012Metric","4.3638mm","69.446126mm","4.3638mm","69.446126mm","4.3638mm","68.533626mm","T","90","1k 0805",
"R18","R_0805_2012Metric","30.9576mm","84.711526mm","30.9576mm","84.711526mm","31.8701mm","84.711526mm","T","180","4.7k 0805",
"U4","SOT-223-3_TabPin2","42.54mm","79.225126mm","42.54mm","79.225126mm","44.84mm","82.375126mm","T","-90","AP1117-33",
"Y1","Crystal_SMD_HC49-SD","50.0mm","59.135126mm","50.0mm","59.135126mm","50.0mm","54.885126mm","T","90","Crystal 12MHZ HC49",
