"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"1u","desc","C1,C2,","C_0805_2012Metric","libref","2","2","","",
"27p","desc","C3,C4,","C_0805_2012Metric","libref","2","2","","",
"10u","desc","C5,C6,","C_0805_2012Metric","libref","2","2","","",
"100n","desc","C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,","C_0805_2012Metric","libref","2","13","","",
"LED","desc","D1,D2,D3,D4,","L1206","libref","2","4","","",
"27","desc","R1,R2,R5,R6,R7,R8,R10,R11,","R_0805_2012Metric","libref","2","8","","",
"1k","desc","R3,R15,","R_0805_2012Metric","libref","2","2","","",
"1k 0805","desc","R13,R14,R16,R17,","R_0805_2012Metric","libref","2","4","","",
"4.7k 0805","desc","R18,","R_0805_2012Metric","libref","2","1","","",
"AP1117-33","desc","U4,","SOT-223-3_TabPin2","libref","4","1","","",
"Crystal 12MHZ HC49","desc","Y1,","Crystal_SMD_HC49-SD","libref","2","1","","",
"Crystal_GND24 12MHZ 3225","desc","Y2,","Crystal_SMD_3225-4Pin_3.2x2.5mm","libref","4","1","","",
"SW_Push","desc","SW3,SW5,","SW_Push_1P1T_NO_6x6mm_H9.5mm","libref","4","2","","",
"LOGO","desc","G***,G***,G***,G***,","LOGO","libref","0","4","","",
"G***","desc","kibuzzard-63A1C2D7,","kibuzzard-63A1C2D7","libref","0","1","","",
"G***","desc","kibuzzard-6379A323,","kibuzzard-6379A323","libref","0","1","","",
"G***","desc","kibuzzard-6379AB1D,","kibuzzard-6379AB1D","libref","0","1","","",
"G***","desc","kibuzzard-6379AB44,","kibuzzard-6379AB44","libref","0","1","","",
"G***","desc","kibuzzard-6379ABBC,","kibuzzard-6379ABBC","libref","0","1","","",
"G***","desc","kibuzzard-6379ABEB,","kibuzzard-6379ABEB","libref","0","1","","",
"G***","desc","kibuzzard-6379AC10,","kibuzzard-6379AC10","libref","0","1","","",
"G***","desc","kibuzzard-6379AC21,","kibuzzard-6379AC21","libref","0","1","","",
"G***","desc","kibuzzard-6379AEA3,","kibuzzard-6379AEA3","libref","0","1","","",
"G***","desc","kibuzzard-6379AEAA,","kibuzzard-6379AEAA","libref","0","1","","",
"G***","desc","kibuzzard-6379AEAF,","kibuzzard-6379AEAF","libref","0","1","","",
"G***","desc","kibuzzard-6379AEB5,","kibuzzard-6379AEB5","libref","0","1","","",
"G***","desc","kibuzzard-6379AEB9,","kibuzzard-6379AEB9","libref","0","1","","",
"G***","desc","kibuzzard-6379AEBD,","kibuzzard-6379AEBD","libref","0","1","","",
"G***","desc","kibuzzard-6379AEE6,","kibuzzard-6379AEE6","libref","0","1","","",
"G***","desc","kibuzzard-6358CBD1,","kibuzzard-6358CBD1","libref","0","1","","",
"G***","desc","kibuzzard-6358CBDF,","kibuzzard-6358CBDF","libref","0","1","","",
"G***","desc","kibuzzard-6358CBEF,","kibuzzard-6358CBEF","libref","0","1","","",
"G***","desc","kibuzzard-6358CC01,","kibuzzard-6358CC01","libref","0","1","","",
"G***","desc","kibuzzard-6358CC12,","kibuzzard-6358CC12","libref","0","1","","",
"G***","desc","kibuzzard-635D2D2A,","kibuzzard-635D2D2A","libref","0","1","","",
"G***","desc","kibuzzard-635D2D3A,","kibuzzard-635D2D3A","libref","0","1","","",
"G***","desc","kibuzzard-635D2D4F,","kibuzzard-635D2D4F","libref","0","1","","",
"G***","desc","kibuzzard-635D2D9C,","kibuzzard-635D2D9C","libref","0","1","","",
"G***","desc","kibuzzard-635E2F9D,","kibuzzard-635E2F9D","libref","0","1","","",
"G***","desc","kibuzzard-6354EA44,","kibuzzard-6354EA44","libref","0","1","","",
"G***","desc","kibuzzard-6354EB36,","kibuzzard-6354EB36","libref","0","1","","",
"G***","desc","kibuzzard-6354EB60,","kibuzzard-6354EB60","libref","0","1","","",
"G***","desc","kibuzzard-6354ECAF,","kibuzzard-6354ECAF","libref","0","1","","",
"G***","desc","kibuzzard-6354ECBE,","kibuzzard-6354ECBE","libref","0","1","","",
"G***","desc","kibuzzard-6354ECDD,","kibuzzard-6354ECDD","libref","0","1","","",
"0","desc","R9,R12,","R_0805_2012Metric","libref","2","2","","",
"5.1k","desc","R19,R20,","R_0805_2012Metric","libref","2","2","","",
"W25Q32JV","desc","U1,","SOIC-8_5.23x5.23mm_P1.27mm","libref","8","1","","",
"CH9329","desc","U3,","SOIC-16_3.9x9.9mm_P1.27mm","libref","16","1","","",
"OSHW-Logo_5.7x6mm_Copper","desc","REF**,","OSHW-Logo_5.7x6mm_Copper","libref","0","1","","",
"KiCad-Logo2_5mm_Copper","desc","REF**,","KiCad-Logo2_5mm_Copper","libref","0","1","","",
"G***","desc","kibuzzard-6379AD0A,","kibuzzard-6379AD0A","libref","0","1","","",
"G***","desc","kibuzzard-6379AD17,","kibuzzard-6379AD17","libref","0","1","","",
"G***","desc","kibuzzard-6379AD2A,","kibuzzard-6379AD2A","libref","0","1","","",
"G***","desc","kibuzzard-6379AD65,","kibuzzard-6379AD65","libref","0","1","","",
"G***","desc","kibuzzard-6379AD71,","kibuzzard-6379AD71","libref","0","1","","",
"G***","desc","kibuzzard-6379AD8B,","kibuzzard-6379AD8B","libref","0","1","","",
"G***","desc","kibuzzard-6379AD90,","kibuzzard-6379AD90","libref","0","1","","",
"G***","desc","kibuzzard-6379B29B,","kibuzzard-6379B29B","libref","0","1","","",
"G***","desc","kibuzzard-6379B2A2,","kibuzzard-6379B2A2","libref","0","1","","",
"G***","desc","kibuzzard-6379B2B1,","kibuzzard-6379B2B1","libref","0","1","","",
"G***","desc","kibuzzard-6379B2D0,","kibuzzard-6379B2D0","libref","0","1","","",
"G***","desc","kibuzzard-6379B2D8,","kibuzzard-6379B2D8","libref","0","1","","",
"G***","desc","kibuzzard-635D2DDA,","kibuzzard-635D2DDA","libref","0","1","","",
"G***","desc","kibuzzard-635D2DF8,","kibuzzard-635D2DF8","libref","0","1","","",
"G***","desc","kibuzzard-635D2E5E,","kibuzzard-635D2E5E","libref","0","1","","",
"G***","desc","kibuzzard-635D2E8C,","kibuzzard-635D2E8C","libref","0","1","","",
"G***","desc","kibuzzard-6354F005,","kibuzzard-6354F005","libref","0","1","","",
"G***","desc","kibuzzard-6354F0BA,","kibuzzard-6354F0BA","libref","0","1","","",
"G***","desc","kibuzzard-6354F0CA,","kibuzzard-6354F0CA","libref","0","1","","",
"G***","desc","kibuzzard-6354F197,","kibuzzard-6354F197","libref","0","1","","",
"Through Hole Items ",
"MountingHole","desc","H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,","HO","libref","1","11","","",
"Conn_02x02_Odd_Even","desc","J2,J4,","PinHeader_2x02_P2.54mm_Horizontal","libref","4","2","","",
"Conn_02x04_Odd_Even","desc","J3,J5,","PinHeader_2x04_P2.54mm_Horizontal","libref","8","2","","",
"Conn_02x04_Odd_Even","desc","J6,J9,","PinSocket_2x04_P2.54mm_Horizontal","libref","8","2","","",
"Conn_02x02_Odd_Even","desc","J7,J8,","PinSocket_2x02_P2.54mm_Horizontal","libref","4","2","","",
"Conn_01x04_Male","desc","J10,","XH-7mm","libref","4","1","","",
"Conn_02x06_Odd_Even","desc","J11,","PinHeader_2x06_P2.54mm_Vertical","libref","12","1","","",
"Conn_01x06","desc","J12,","PinHeader_1x06_P2.54mm_Vertical","libref","6","1","","",
"Conn_01x03","desc","J13,","PinHeader_1x03_P2.54mm_Vertical","libref","3","1","","",
"Conn_01x04","desc","J14,J15,","PinHeader_1x04_P2.54mm_Vertical","libref","4","2","","",
"Key","desc","K1,K2,K3,K4,K5,K6,","Key","libref","17","6","","",
"USB_C_Plug_USB2.0","desc","P1,","USB_C_Receptacle_HRO_TYPE-C-31-M-12","libref","22","1","","",
"4.7k","desc","R4,","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","libref","2","1","","",
"RP2040","desc","U2,","RP2040-QFN-56","libref","70","1","","",
"SW_DIP_x04","desc","SW2,","SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm","libref","8","1","","",
"RotaryEncoder_Switch","desc","SW6,SW8,","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","libref","7","2","","",
"SW_Push","desc","SW7,","SW_PUSH-12mm_Wuerth-430476085716","libref","4","1","","",
