"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0805_2012Metric","70.2006mm","35.311mm","70.2006mm","35.311mm","71.1506mm","35.311mm","T","180","1u",
"C2","C_0805_2012Metric","70.2006mm","33.3552mm","70.2006mm","33.3552mm","69.2506mm","33.3552mm","T","0","1u",
"C3","C_0805_2012Metric","53.335mm","16.1086mm","53.335mm","16.1086mm","53.335mm","15.1586mm","T","90","27p",
"C4","C_0805_2012Metric","46.6548mm","16.0832mm","46.6548mm","16.0832mm","46.6548mm","17.0332mm","T","-90","27p",
"C5","C_0805_2012Metric","39.2888mm","41.3308mm","39.2888mm","41.3308mm","40.2388mm","41.3308mm","T","180","10u",
"C6","C_0805_2012Metric","41.5748mm","30.7898mm","41.5748mm","30.7898mm","42.5248mm","30.7898mm","T","180","10u",
"C7","C_0805_2012Metric","55.5194mm","25.2526mm","55.5194mm","25.2526mm","55.5194mm","24.3026mm","T","90","100n",
"C8","C_0805_2012Metric","61.336mm","42.0166mm","61.336mm","42.0166mm","61.336mm","42.9666mm","T","-90","100n",
"C9","C_0805_2012Metric","65.7048mm","40.3148mm","65.7048mm","40.3148mm","65.7048mm","39.3648mm","T","90","100n",
"C10","C_0805_2012Metric","65.5778mm","27.691mm","65.5778mm","27.691mm","65.5778mm","28.641mm","T","-90","100n",
"C11","C_0805_2012Metric","53.5636mm","25.2526mm","53.5636mm","25.2526mm","53.5636mm","26.2026mm","T","-90","100n",
"C12","C_0805_2012Metric","57.5514mm","41.1784mm","57.5514mm","41.1784mm","58.5014mm","41.1784mm","T","180","100n",
"C13","C_0805_2012Metric","53.8938mm","36.5048mm","53.8938mm","36.5048mm","54.8438mm","36.5048mm","T","180","100n",
"C14","C_0805_2012Metric","63.622mm","41.661mm","63.622mm","41.661mm","63.622mm","40.711mm","T","90","100n",
"C15","C_0805_2012Metric","70.2006mm","31.3994mm","70.2006mm","31.3994mm","69.2506mm","31.3994mm","T","0","100n",
"D1","L1206","3.01mm","21.19mm","3.01mm","21.19mm","1.604mm","21.34mm","T","180","LED",
"D2","L1206","3.01mm","18.904mm","3.01mm","18.904mm","1.604mm","19.054mm","T","180","LED",
"D3","L1206","3.01mm","23.476mm","3.01mm","23.476mm","1.604mm","23.626mm","T","180","LED",
"D4","L1206","3.01mm","16.618mm","3.01mm","16.618mm","1.604mm","16.768mm","T","180","LED",
"R1","R_0805_2012Metric","70.353mm","39.4512mm","70.353mm","39.4512mm","70.353mm","40.3637mm","T","-90","27",
"R2","R_0805_2012Metric","72.258mm","39.4512mm","72.258mm","39.4512mm","72.258mm","38.5387mm","T","90","27",
"R3","R_0805_2012Metric","55.4432mm","28.5546mm","55.4432mm","28.5546mm","54.5307mm","28.5546mm","T","0","1k",
"R5","R_0805_2012Metric","15.71mm","4.68mm","15.71mm","4.68mm","14.7975mm","4.68mm","T","0","27",
"R6","R_0805_2012Metric","38.57mm","4.68mm","38.57mm","4.68mm","37.6575mm","4.68mm","T","0","27",
"R7","R_0805_2012Metric","61.43mm","4.68mm","61.43mm","4.68mm","60.5175mm","4.68mm","T","0","27",
"R8","R_0805_2012Metric","84.29mm","4.68mm","84.29mm","4.68mm","83.3775mm","4.68mm","T","0","27",
